CandidateName,ExperienceYears,EducationLevel,Skills,RequiredSkills,JobTitle,ClientName,RequiredExperience,EducationRequired,MatchScore
Youssef Bouziane,1,Master,"Django, Python, React, Java","Docker, SQL, AutoCAD",Full Stack Web Developer,BuildTech,4,Master,5
Omar Alaoui,9,Master,"React, SQL, Spring Boot, Python","Django, Java, Project Management",Backend Developer,CodeLab,6,Master,3
Amine Ben Ali,7,Master,"Django, React, Project Management, AutoCAD","Java, AutoCAD, Django",Project Coordinator,CodeLab,6,Master,9
Khalid Bouziane,9,Master,"Spring Boot, Python, Project Management, Docker","Java, React, Project Management",Full Stack Web Developer,CodeLab,1,Master,5
Sara El Idrissi,8,Master,"Docker, SQL, AutoCAD","Java, Project Management, Docker",Backend Developer,BuildTech,9,Master,5
Nour Ben Ali,1,Master,"React, Spring Boot, Java","Django, Python, Spring Boot",Civil Engineering Consultant,CodeLab,2,Master,4
Omar Zahraoui,8,Master,"Django, Docker, Spring Boot, React","Docker, AutoCAD, Spring Boot",Backend Developer,BTP Experts Maroc,5,Master,4
Khalid Alaoui,8,Master,"Angular, SQL, AutoCAD","Java, SQL, Spring Boot",Project Coordinator,BuildTech,9,Master,1
Amine El Idrissi,3,Master,"Project Management, Docker, Python, Django","Python, AutoCAD, Project Management",Backend Developer,CodeLab,4,Master,7
Fatima Zahraoui,1,Master,"Docker, AutoCAD, Django","Java, AutoCAD, Project Management",Data Analyst,BuildTech,3,Master,9
Mehdi Ben Ali,8,Master,"Angular, Python, Docker, Java","Docker, React, Python",Project Coordinator,DataMind,7,Master,3
Aya El Idrissi,3,Master,"Java, Docker, Django, Spring Boot","AutoCAD, Angular, Java",Civil Engineering Consultant,BTP Experts Maroc,6,Master,2
Salma Ben Ali,3,Master,"React, Spring Boot, Docker","Java, Python, Spring Boot",Data Analyst,CodeLab,8,Master,3
Youssef Alaoui,1,Master,"Java, AutoCAD, Angular, Docker","Docker, Django, AutoCAD",Backend Developer,DataMind,3,Master,1
Omar El Amrani,5,Master,"Python, AutoCAD, React","Docker, Angular, Project Management",Project Coordinator,DataMind,5,Master,6
Amine Bouziane,10,Master,"Angular, Python, Java, Docker","Angular, Java, React",Civil Engineering Consultant,BuildTech,4,Master,7
Mehdi Tahiri,7,Master,"Spring Boot, Django, Python","Project Management, Python, Spring Boot",Data Analyst,DataMind,4,Master,2
Youssef Alaoui,10,Master,"SQL, Java, Docker","SQL, Spring Boot, Project Management",Civil Engineering Consultant,BTP Experts Maroc,4,Master,8
Amine El Fassi,9,Master,"Docker, SQL, Angular, Project Management","Java, Python, Angular",Backend Developer,BTP Experts Maroc,8,Master,6
Khalid Zahraoui,7,Master,"React, Docker, Spring Boot","Project Management, Python, Django",Civil Engineering Consultant,InnovIT,6,Master,4
Mehdi Zahraoui,9,Master,"Angular, Project Management, Python, React","Python, React, Spring Boot",Full Stack Web Developer,BTP Experts Maroc,3,Master,5
Sara Ouchene,8,Master,"Docker, Angular, Spring Boot","Django, Java, Angular",Data Analyst,DataMind,5,Master,8
Omar Bennani,2,Master,"Java, Python, React, Spring Boot","Java, React, AutoCAD",Civil Engineering Consultant,BTP Experts Maroc,6,Master,3
Khalid Tahiri,1,Master,"AutoCAD, React, Django, Java","AutoCAD, Java, Project Management",Backend Developer,BuildTech,5,Master,3
Aya Bouziane,7,Master,"Project Management, Python, SQL","React, Docker, Spring Boot",Backend Developer,InnovIT,6,Master,4
Sara El Idrissi,7,Master,"AutoCAD, Java, Angular","Angular, AutoCAD, React",Civil Engineering Consultant,DataMind,8,Master,1
Omar Alaoui,8,Master,"Django, AutoCAD, Spring Boot","AutoCAD, Django, Project Management",Backend Developer,InnovIT,7,Master,9
Amine El Fassi,5,Master,"Angular, SQL, Django","Spring Boot, Python, Django",Project Coordinator,DataMind,5,Master,8
Nour Alaoui,3,Master,"Spring Boot, Docker, SQL, Django","SQL, Django, React",Project Coordinator,BuildTech,6,Master,8
Aya Ouchene,8,Master,"Project Management, Java, Django, Python","Django, Project Management, Spring Boot",Project Coordinator,InnovIT,4,Master,10
Youssef El Fassi,6,Master,"Java, Python, Angular, Django","Angular, Python, Java",Full Stack Web Developer,CodeLab,9,Master,6
Amine Ben Ali,3,Master,"AutoCAD, Docker, React, SQL","Spring Boot, React, Docker",Civil Engineering Consultant,DataMind,4,Master,7
Salma Tahiri,1,Master,"Python, Project Management, SQL, Angular","Spring Boot, Project Management, Django",Full Stack Web Developer,CodeLab,1,Master,6
Amine Ouchene,3,Master,"React, Spring Boot, Python","Angular, AutoCAD, Python",Backend Developer,InnovIT,7,Master,9
Mehdi El Fassi,5,Master,"Angular, Docker, Spring Boot","Python, Django, React",Full Stack Web Developer,CodeLab,7,Master,3
Youssef El Amrani,3,Master,"React, SQL, Project Management","Project Management, Java, Django",Backend Developer,CodeLab,4,Master,3
Fatima El Idrissi,1,Master,"Project Management, Django, AutoCAD, Docker","Docker, Django, Java",Backend Developer,InnovIT,3,Master,3
Nour Ben Ali,5,Master,"Angular, Python, AutoCAD","Project Management, Spring Boot, Java",Data Analyst,BuildTech,8,Master,10
Omar El Amrani,10,Master,"Spring Boot, SQL, Java, Docker","Python, Java, Angular",Project Coordinator,CodeLab,5,Master,3
Youssef Zahraoui,7,Master,"SQL, Angular, Django","Java, Spring Boot, Django",Backend Developer,CodeLab,7,Master,9
Mehdi El Fassi,7,Master,"React, Docker, SQL, Spring Boot","SQL, Angular, Django",Data Analyst,BuildTech,4,Master,4
Sara Ouchene,9,Master,"Angular, Spring Boot, React","React, SQL, Django",Project Coordinator,CodeLab,4,Master,7
